WAVE,FLUX,ERR,CONT,Z,Transition,SplineRanges
1258.9272,0,0,0.91900427,0.0150657,"[[1206.51,""Si III 1206.51""];[1304.37,""Si II 1304.37""]; [1393.76,""Si IV 1393.755""];[1302.168,""O I 1302.168""]; [1334.532,""C II 1334.532""]]","(1200,1204,1208,1211);(1301.8,1302.75,1304.2,1308.2); (1385,1391,1395,1398); (1298,1300.6,1302,1304); (1322.5,1333,1335.8,1338)"
1259.0254,0,0,0.94896732,,,
1259.1236,0,0,0.97893436,,,
1259.2218,0,0,0.99368783,,,
1259.32,0,0,0.98784826,,,
1259.4182,0,0,0.98200789,,,
1259.5164,0,0,0.97681257,,,
1259.6146,0,0,0.98086636,,,
1259.7128,0,0,0.98492068,,,
1259.8111,0,0,0.98897552,,,
1259.9093,0,0,0.99335241,,,
1260.0075,0,0,0.99786403,,,
1260.1057,0,0,1.0023762,,,
1260.2039,0,0,1.0034706,,,
1260.3021,0,0,1.000329,,,
1260.4003,0,0,0.99718698,,,
1260.4985,0,0,0.99437132,,,
1260.5967,0,0,0.99498759,,,
1260.695,0,0,0.99560392,,,
1260.7932,0,0,0.99622032,,,
1260.8914,0,0,0.99943146,,,
1260.9896,0,0,1.0036161,,,
1261.0878,0,0,1.0078013,,,
1261.186,0,0,1.0101288,,,
1261.2842,0,0,1.0103466,,,
1261.3824,0,0,1.0105644,,,
1261.4806,0,0,1.0095288,,,
1261.5788,0,0,0.99820405,,,
1261.6771,0,0,0.98687782,,,
1261.7753,0,0,0.97555006,,,
1261.8735,0,0,0.98092663,,,
1261.9717,0,0,0.99194158,,,
1262.0699,0,0,1.002958,,,
1262.1681,0,0,1.0087269,,,
1262.2663,0,0,1.0090317,,,
1262.3645,0,0,1.0093366,,,
1262.4627,0,0,1.0096784,,,
1262.561,0,0,1.0102665,,,
1262.6592,0,0,1.0108547,,,
1262.7574,0,0,1.011443,,,
1262.8556,0,0,1.0100563,,,
1262.9538,0,0,1.0080773,,,
1263.052,0,0,1.006098,,,
1263.1502,0,0,1.0053675,,,
1263.2484,0,0,1.0064367,,,
1263.3466,0,0,1.0075061,,,
1263.4449,0,0,1.0082782,,,
1263.5431,0,0,1.0073746,,,
1263.6413,0,0,1.0064708,,,
1263.7395,0,0,1.005567,,,
1263.8377,0,0,1.0055876,,,
1263.9359,0,0,1.0058525,,,
1264.0341,0,0,1.0061174,,,
1264.1323,0,0,1.0045305,,,
1264.2305,0,0,1.0005021,,,
1264.3288,0,0,0.99647309,,,
1264.427,0,0,0.99258449,,,
1264.5252,0,0,0.99055511,,,
1264.6234,0,0,0.98852545,,,
1264.7216,0,0,0.9864955,,,
1264.8198,0,0,0.98585741,,,
1264.918,0,0,0.98554008,,,
1265.0162,0,0,0.9852227,,,
1265.1144,0,0,0.97944171,,,
1265.2126,0,0,0.96706307,,,
1265.3109,0,0,0.95468277,,,
1265.4091,0,0,0.94405496,,,
1265.5073,0,0,0.95071502,,,
1265.6055,0,0,0.95737595,,,
1265.7037,0,0,0.96403775,,,
1265.8019,0,0,0.9685865,,,
1265.9001,0,0,0.9723636,,,
1265.9983,0,0,0.97614118,,,
1266.0965,0,0,0.97682632,,,
1266.1948,0,0,0.97227937,,,
1266.293,0,0,0.96773181,,,
1266.3912,0,0,0.96292757,,,
1266.4894,0,0,0.95612823,,,
1266.5876,0,0,0.94932799,,,
1266.6858,0,0,0.94252683,,,
1266.784,0,0,0.95036329,,,
1266.8822,0,0,0.96297406,,,
1266.9804,0,0,0.97558648,,,
1267.0787,0,0,0.98341271,,,
1267.1769,0,0,0.98385086,,,
1267.2751,0,0,0.98428905,,,
1267.3733,0,0,0.98474798,,,
1267.4715,0,0,0.98580374,,,
1267.5697,0,0,0.98685961,,,
1267.6679,0,0,0.98791562,,,
1267.7661,0,0,0.98436304,,,
1267.8643,0,0,0.97857932,,,
1267.9626,0,0,0.97279483,,,
1268.0608,0,0,0.9719705,,,
1268.159,0.407794,0.085289825,0.98203791,,,
1268.2572,1.01653,0.13502932,0.99210664,,,
1268.3554,1.21548,0.14467996,1.0013505,,,
1268.4536,1.2033,0.14397335,0.9964555,,,
1268.5518,1.06438,0.13694229,0.99155978,,,
1268.65,1.03876,0.13564318,0.98666341,,,
1268.7482,1.10317,0.13902475,0.96967895,,,
1268.8465,0.913913,0.12954588,0.94736956,,,
1268.9447,0.842381,0.12568388,0.92505722,,,
1269.0429,0.820353,0.124387,0.91837408,,,
1269.1411,0.947633,0.13131122,0.94277598,,,
1269.2393,0.661087,0.1153194,0.96718109,,,
1269.3375,0.724063,0.11920717,0.9915894,,,
1269.4357,0.935688,0.13096298,0.98958505,,,
1269.5339,0.94508,0.13090998,0.98690168,,,
1269.6321,1.0396,0.13618159,0.98421794,,,
1269.7303,1.07257,0.13753078,0.9752192,,,
1269.8286,1.06965,0.13719002,0.96224986,,,
1269.9268,0.976793,0.13270123,0.94927879,,,
1270.025,0.995772,0.13390243,0.94285873,,,
1270.1232,1.10434,0.13953899,0.95564714,,,
