WAVE,FLUX,ERR,CONT,Z,Transitions,SplineRanges
1259.181726,0.00E+00,0.00E+00,1.02426422,0.01486,"[[1206.51,""Si III 1206.51""]; [1193.28,""Si II 1193""]; [1393.76,""Si IV 1393.755""];[1302.168,""O I 1302.168""];[1334.532,""C II 1334.532""]]"," (1200,1205,1207,1213.5) ;(1190.8,1192.25,1194,1196); (1387,1392.4,1395,1398); (1295.8,1301,1302.45,1305); (1326,1333,1335.8,1338)"
1259.279957,0.00E+00,0.00E+00,1.02597093,,,
1259.378188,0.00E+00,0.00E+00,1.0276778,,,
1259.476418,0.00E+00,0.00E+00,1.02938484,,,
1259.574649,0.00E+00,0.00E+00,1.03062761,,,
1259.67288,0.00E+00,0.00E+00,1.03162914,,,
1259.77111,0.00E+00,0.00E+00,1.03263076,,,
1259.869341,0.00E+00,0.00E+00,1.03383076,,,
1259.967572,0.00E+00,0.00E+00,1.03549566,,,
1260.065803,0.00E+00,0.00E+00,1.03716072,,,
1260.164033,0.00E+00,0.00E+00,1.03874753,,,
1260.262264,0.00E+00,0.00E+00,1.03848658,,,
1260.360495,0.00E+00,0.00E+00,1.03822558,,,
1260.458725,0.00E+00,0.00E+00,1.03796455,,,
1260.556956,0.00E+00,0.00E+00,1.03715392,,,
1260.655187,0.00E+00,0.00E+00,1.03608661,,,
1260.753418,0.00E+00,0.00E+00,1.03501918,,,
1260.851648,0.00E+00,0.00E+00,1.03519012,,,
1260.949879,0.00E+00,0.00E+00,1.03796027,,,
1261.04811,0.00E+00,0.00E+00,1.04073069,,,
1261.14634,0.00E+00,0.00E+00,1.04328542,,,
1261.244571,0.00E+00,0.00E+00,1.04270241,,,
1261.342802,0.00E+00,0.00E+00,1.04211934,,,
1261.441033,0.00E+00,0.00E+00,1.04153619,,,
1261.539263,0.00E+00,0.00E+00,1.03752055,,,
1261.637494,0.00E+00,0.00E+00,1.03207094,,,
1261.735725,0.00E+00,0.00E+00,1.02662076,,,
1261.833955,0.00E+00,0.00E+00,1.02492731,,,
1261.932186,0.00E+00,0.00E+00,1.03036199,,,
1262.030417,0.00E+00,0.00E+00,1.03579723,,,
1262.128648,0.00E+00,0.00E+00,1.04089036,,,
1262.226878,0.00E+00,0.00E+00,1.04243644,,,
1262.325109,0.00E+00,0.00E+00,1.04398267,,,
1262.42334,0.00E+00,0.00E+00,1.04552904,,,
1262.52157,0.00E+00,0.00E+00,1.04593859,,,
1262.619801,0.00E+00,0.00E+00,1.0459257,,,
1262.718032,0.00E+00,0.00E+00,1.04591279,,,
1262.816263,0.00E+00,0.00E+00,1.04561816,,,
1262.914493,0.00E+00,0.00E+00,1.04484146,,,
1263.012724,0.00E+00,0.00E+00,1.04406466,,,
1263.110955,0.00E+00,0.00E+00,1.04329574,,,
1263.209185,0.00E+00,0.00E+00,1.04332556,,,
1263.307416,0.00E+00,0.00E+00,1.04335537,,,
1263.405647,0.00E+00,0.00E+00,1.04338518,,,
1263.503878,0.00E+00,0.00E+00,1.04319171,,,
1263.602108,0.00E+00,0.00E+00,1.0429244,,,
1263.700339,0.00E+00,0.00E+00,1.04265704,,,
1263.79857,0.00E+00,0.00E+00,1.04225875,,,
1263.8968,0.00E+00,0.00E+00,1.04165785,,,
1263.995031,0.00E+00,0.00E+00,1.04105688,,,
1264.093262,0.00E+00,0.00E+00,1.04039294,,,
1264.191493,0.00E+00,0.00E+00,1.03791731,,,
1264.289723,0.00E+00,0.00E+00,1.03544142,,,
1264.387954,0.00E+00,0.00E+00,1.03296526,,,
1264.486185,0.00E+00,0.00E+00,1.03214554,,,
1264.584416,0.00E+00,0.00E+00,1.03212957,,,
1264.682646,0.00E+00,0.00E+00,1.03211358,,,
1264.780877,0.00E+00,0.00E+00,1.03171827,,,
1264.879108,0.00E+00,0.00E+00,1.03079088,,,
1264.977338,0.00E+00,0.00E+00,1.02986338,,,
1265.075569,0.00E+00,0.00E+00,1.02866029,,,
1265.1738,0.00E+00,0.00E+00,1.02291949,,,
1265.272031,0.00E+00,0.00E+00,1.0171781,,,
1265.370261,0.00E+00,0.00E+00,1.01143611,,,
