WAVE,FLUX,ERR,CONT
1124.44,0.40540278,0.084108407,0.75190706
1124.53,0.62963726,0.10314614,0.72753984
1124.63,0.64585052,0.10363873,0.70313456
1124.73,0.46139428,0.093275704,0.67872227
1124.82,0.67612227,0.10543059,0.65430266
1124.92,0.72375472,0.11437404,0.6353497
1125.02,0.48622786,0.1063447,0.66084958
1125.11,0.63728298,0.11504837,0.68632476
1125.21,0.71609596,0.11770933,0.71180738
1125.31,0.722142,0.11711046,0.73726527
1125.4,0.65679159,0.10457898,0.76276258
1125.5,0.66379754,0.10404944,0.77767694
1125.6,0.82613015,0.11209079,0.7784835
1125.7,0.91506201,0.11608933,0.77929025
1125.79,0.76595229,0.10903706,0.78009846
1125.89,1.0570826,0.12203419,0.78090545
1125.99,0.72237409,0.10680944,0.7817129
1126.08,0.95013545,0.11752039,0.77964693
1126.18,0.76482646,0.10888284,0.77660593
1126.28,0.86777311,0.11570914,0.77356403
1126.37,0.81002079,0.1178515,0.77052123
1126.47,0.77160509,0.11999382,0.76746959
1126.57,0.68828865,0.11189336,0.76471997
1126.66,0.50827904,0.096127994,0.7660871
1126.76,0.54151523,0.096197955,0.76745623
1126.86,0.6954983,0.10443287,0.76882431
1126.95,0.70939768,0.10530097,0.77019417
1127.05,0.7272967,0.10617569,0.77156461
1127.15,0.69885557,0.10701386,0.77429849
1127.24,0.70938914,0.11146501,0.77922593
1127.34,0.59712931,0.10228411,0.784161
1127.44,0.570631,0.097873943,0.78909144
1127.53,0.69648161,0.10419842,0.79402313
1127.63,0.55982269,0.096294775,0.79894995
1127.73,0.47380385,0.091885727,0.78487028
1127.82,0.43880069,0.08992878,0.7579882
1127.92,0.39452251,0.087730443,0.73106422
1128.02,0.47769108,0.095208015,0.7042003
1128.12,0.36312977,0.087169121,0.67726076
1128.21,0.33190226,0.082027291,0.65034712
1128.31,0.34918924,0.0827304,0.65448263
1128.41,0.56413953,0.096142155,0.66138378
1128.5,0.34878264,0.082603036,0.66829564
1128.6,0.49095537,0.091900505,0.67521826
1128.7,0.38990377,0.086372561,0.68212539
1128.79,0.53051301,0.098737268,0.69925433
1128.89,0.69085447,0.11264333,0.74977986
1128.99,0.58993392,0.10375721,0.80025637
1129.08,0.51633484,0.094359876,0.85074769
1129.18,0.60427361,0.098536926,0.90118997
1129.28,0.90284953,0.11294617,0.95177416
1129.37,0.69754525,0.10308988,0.97358669
1129.47,0.82936763,0.10959955,0.96046357
1129.57,0.89863097,0.11248016,0.94733663
1129.66,0.87350728,0.11143265,0.93418934
1129.76,0.62901287,0.099613123,0.92105451
1129.86,0.7472116,0.10548765,0.90791607
1129.95,0.75426744,0.1057585,0.89007346
1130.05,0.81712188,0.10856688,0.8708394
1130.15,0.68625684,0.10198406,0.85157572
1130.24,0.88117509,0.11130691,0.83230622
1130.34,0.69197236,0.10210129,0.81300684
1130.44,0.65138076,0.10012394,0.79370184
1130.54,0.94654931,0.11423557,0.82629391
1130.63,0.83026552,0.10870308,0.85958361
1130.73,0.80738287,0.10750507,0.89288249
1130.83,0.84570837,0.10915624,0.92623331
1130.92,0.84535968,0.10924115,0.95959354
