WAVE,FLUX,ERR,CONT,Z,Transitions,SplineRanges
1109.4092,0,0,1.0028405,0.0138815,"[[1206.51,""Si III 1206.51""];[1193.28,""Si II 1193""]; [1393.76,""Si IV 1393.755""];[1302.168,""O I 1302.168""];[1334.532,""C II 1334.532""]]"," (1198,1201,1203,1205); (1185,1189,1191.2,1192); (1385,1391,1395,1398); (1297,1301,1302.7,1303.6); (1322.5,1333,1335.8,1338)"
1109.5075,0,0,1.0141845,,,
1109.6058,0,0,1.0255322,,,
1109.7041,0,0,1.0368836,,,
1109.8024,0,0,1.0392166,,,
1109.9007,0,0,1.0381512,,,
1109.999,0,0,1.0370854,,,
1110.0973,0,0,1.0360192,,,
1110.1955,0,0,1.0349526,,,
1110.2938,0,0,1.0340293,,,
1110.3921,0,0,1.0335829,,,
1110.4904,0,0,1.0331362,,,
1110.5887,0,0,1.0326893,,,
1110.687,0,0,1.0322422,,,
1110.7853,0,0,1.0317949,,,
1110.8836,0,0,1.0309114,,,
1110.9819,0,0,1.0297766,,,
1111.0802,0,0,1.0286414,,,
1111.1785,0,0,1.0275057,,,
1111.2768,0,0,1.0263696,,,
1111.3751,0,0,1.0254809,,,
1111.4734,0,0,1.0261007,,,
1111.5717,0,0,1.0267207,,,
1111.67,0,0,1.0273408,,,
1111.7683,0,0,1.027961,,,
1111.8666,0,0,1.0285814,,,
1111.9648,0,0,1.0280509,,,
1112.0631,0,0,1.0265566,,,
1112.1614,0,0,1.0250618,,,
1112.2597,0,0,1.0235665,,,
1112.358,0,0,1.0220706,,,
1112.4563,0,0,1.0207685,,,
1112.5546,0,0,1.0232035,,,
1112.6529,0,0,1.0256393,,,
1112.7512,0,0,1.0280757,,,
1112.8495,0,0,1.0305129,,,
1112.9478,0,0,1.0329509,,,
1113.0461,0,0,1.0343946,,,
1113.1444,0,0,1.0346418,,,
1113.2427,0,0,1.0348891,,,
1113.341,0,0,1.0351363,,,
1113.4393,0,0,1.0353836,,,
1113.5376,0,0,1.0356309,,,
1113.6359,0,0,1.0346344,,,
1113.7341,0,0,1.0334304,,,
1113.8324,0,0,1.0322258,,,
1113.9307,0,0,1.0310209,,,
1114.029,0,0,1.0298155,,,
1114.1273,0,0,1.028779,,,
1114.2256,0,0,1.0280404,,,
1114.3239,0,0,1.0273015,,,
1114.4222,0,0,1.0265624,,,
1114.5205,0,0,1.0258229,,,
1114.6188,0,0,1.0250831,,,
1114.7171,0,0,1.0233489,,,
1114.8154,0,0,1.0213117,,,
1114.9137,0,0,1.0192738,,,
1115.012,0,0,1.0172352,,,
1115.1103,0,0,1.0151959,,,
1115.2086,0,0,1.0135405,,,
1115.3069,0,0,1.0129146,,,
1115.4052,0,0,1.0122885,,,
1115.5034,0,0,1.0116622,,,
1115.6017,0,0,1.0110355,,,
1115.7,0,0,1.0104087,,,
1115.7983,0,0,1.0077123,,,
1115.8966,0,0,1.0040249,,,
1115.9949,0,0,1.0003363,,,
1116.0932,0,0,0.99664647,,,
1116.1915,0,0,0.99295538,,,
1116.2898,0,0,0.98928397,,,
1116.3881,0,0,0.98585312,,,
1116.4864,1.04884,0.50976458,0.9824211,,,
1116.5847,0.798601,0.52371399,0.97898792,,,
1116.683,1.12031,0.55101317,0.97555358,,,
1116.7813,1.62032,0.58892384,0.97211808,,,
1116.8796,1.19882,0.55434362,0.9724446,,,
1116.9779,1.00671,0.53689282,0.97680086,,,
1117.0762,0.9391,0.52934959,0.98115846,,,
1117.1745,1.04597,0.53777707,0.98551743,,,
1117.2727,0.868394,0.52015183,0.98987774,,,
1117.371,0.750084,0.51080351,0.99423941,,,
1117.4693,0.521669,0.48908302,0.9992838,,,
1117.5676,0.633352,0.49858514,1.0043371,,,
1117.6659,0.856939,0.51597936,1.0093921,,,
1117.7642,0.746504,0.50578036,1.0144486,,,
1117.8625,0.637839,0.49515196,1.0195066,,,
1117.9608,0.756206,0.50354861,1.0240839,,,
1118.0591,0.978799,0.52303542,1.0279159,,,
1118.1574,0.604472,0.48883542,1.0317492,,,
1118.2557,0.23286,0.45328385,1.0355836,,,
1118.354,0.828224,0.50583706,1.0394192,,,
1118.4523,0.561804,0.4816541,1.043256,,,
1118.5506,0.291913,0.45540524,1.0427912,,,
1118.6489,0.386624,0.46238646,1.0412221,,,
1118.7472,0.172836,0.44203598,1.0396524,,,
1118.8455,0.534433,0.47453739,1.0380822,,,
1118.9438,0.582892,0.47927621,1.0365114,,,
1119.042,0.469476,0.46666316,1.0337418,,,
1119.1403,0.550339,0.47436933,1.026187,,,
1119.2386,0.958416,0.51528406,1.0186296,,,
1119.3369,0.683297,0.50366029,1.0110698,,,
1119.4352,0.938298,0.53177001,1.0035075,,,
1119.5335,1.23861,0.55155741,0.99594266,,,
1119.6318,0.864397,0.51730406,0.99692814,,,
1119.7301,0.799678,0.49518158,1.0035324,,,
1119.8284,0.713606,0.46715734,1.0101388,,,
1119.9267,0.870036,0.38181936,1.0167473,,,
1120.025,1.32421,0.40805253,1.0233578,,,
1120.1233,1.12642,0.39625715,1.0294091,,,
1120.2216,0.967966,0.38493292,1.0309165,,,
1120.3199,0.985043,0.38580022,1.0324244,,,
1120.4182,0.863563,0.37766557,1.0339326,,,
1120.5165,0.972534,0.38273476,1.0354413,,,
1120.6148,1.30486,0.40374027,1.0369504,,,
1120.7131,1.23012,0.39734153,1.0368378,,,
1120.8113,1.01753,0.38466273,1.035186,,,
1120.9096,1.25228,0.40050343,1.0335336,,,
1121.0079,1.08897,0.39591273,1.0318806,,,
1121.1062,0.83709,0.37825846,1.030227,,,
1121.2045,0.976932,0.37991066,1.0285728,,,
