WAVE,FLUX,ERR,CONT,Z,Transitions,SplineRanges
1260.8775,0,0,0.9913294,0.0137,"[[1206.51,""Si III 1206.51""]; [1193.28,""Si II 1193""];[1393.76,""Si IV 1393.755""];[1302.168,""O I 1302.168""]; [1334.532,""C II 1334.532""]]"," (1200,1205,1207,1213.5) ;(1190.8,1192.25,1194,1196); (1387,1392.4,1395,1398);(1295.8,1301,1302.45,1305); (1326,1333,1335.8,1338)"
1260.9759,0,0,0.99595004,,,
1261.0742,0,0,1.0005717,,,
1261.1725,0,0,1.003712,,,
1261.2708,0,0,1.0038451,,,
1261.3691,0,0,1.0039781,,,
1261.4674,0,0,1.0041112,,,
1261.5657,0,0,0.99826844,,,
1261.664,0,0,0.99226374,,,
1261.7623,0,0,0.98625764,,,
1261.8606,0,0,0.98733397,,,
1261.9589,0,0,0.9928218,,,
1262.0573,0,0,0.99831086,,,
1262.1556,0,0,1.0027952,,,
1262.2539,0,0,1.0055057,,,
1262.3522,0,0,1.0082168,,,
1262.4505,0,0,1.0109145,,,
1262.5488,0,0,1.0110687,,,
1262.6471,0,0,1.0112228,,,
1262.7454,0,0,1.011377,,,
1262.8437,0,0,1.0108271,,,
1262.942,0,0,1.0098945,,,
1263.0403,0,0,1.0089616,,,
1263.1387,0,0,1.0083008,,,
1263.237,0,0,1.0083016,,,
1263.3353,0,0,1.0083024,,,
1263.4336,0,0,1.0082934,,,
1263.5319,0,0,1.0080242,,,
1263.6302,0,0,1.0077548,,,
1263.7285,0,0,1.0074854,,,
1263.8268,0,0,1.0067483,,,
1263.9251,0,0,1.0057905,,,
1264.0234,0,0,1.0048324,,,
1264.1217,0,0,1.0028636,,,
1264.22,0,0,0.99877823,,,
1264.3184,0,0,0.9946919,,,
1264.4167,0,0,0.99060461,,,
1264.515,0,0,0.98776806,,,
1264.6133,0,0,0.98497537,,,
1264.7116,0,0,0.98218201,,,
1264.8099,0,0,0.98017515,,,
1264.9082,0,0,0.97848757,,,
1265.0065,0,0,0.97679957,,,
1265.1048,0,0,0.97389788,,,
1265.2031,0,0,0.96878925,,,
1265.3014,0,0,0.96367942,,,
1265.3998,0,0,0.95856839,,,
1265.4981,0,0,0.96010742,,,
1265.5964,0,0,0.96166496,,,
1265.6947,0,0,0.96322282,,,
1265.793,0,0,0.9637676,,,
1265.8913,0,0,0.96374473,,,
1265.9896,0,0,0.96372183,,,
1266.0879,0,0,0.96340194,,,
1266.1862,0,0,0.96233095,,,
1266.2845,0,0,0.96125969,,,
1266.3828,0,0,0.96026371,,,
1266.4812,0,0,0.96180684,,,
1266.5795,0,0,0.96335028,,,
1266.6778,0,0,0.96489405,,,
1266.7761,0,0,0.97014161,,,
1266.8744,0,0,0.97719342,,,
1266.9727,0,0,0.9842468,,,
