WAVE,FLUX,ERR,CONT,Z,Transitions,SplineRanges
1104.9554,0,0,1.2331366,0.0179071,"[[1206.51,""Si III 1206.51""]; [1193.28,""Si II 1193""];[1393.76,""Si IV 1393.755""];[1302.168,""O I 1302.168""], [1334.532,""C II 1334.532""]]"," (1200,1205,1207,1213.5) ;(1190.8,1192.25,1194,1196); (1387,1392.4,1395,1398); (1295.8,1301,1302.45,1305);(1326,1333,1335.8,1338)"
1105.0533,0,0,1.2381255,,,
1105.1512,0,0,1.243115,,,
1105.2491,0,0,1.2470633,,,
1105.347,0,0,1.2467224,,,
1105.4449,0,0,1.2463815,,,
1105.5428,0,0,1.2460405,,,
1105.6407,0,0,1.2456994,,,
1105.7386,0,0,1.2453583,,,
1105.8365,0,0,1.245024,,,
1105.9344,0,0,1.2446929,,,
1106.0323,0,0,1.2443618,,,
1106.1302,0,0,1.2440306,,,
1106.2281,0,0,1.2436993,,,
1106.326,0,0,1.2429793,,,
1106.4239,0,0,1.240263,,,
1106.5218,0,0,1.2375463,,,
1106.6197,0,0,1.2348292,,,
1106.7176,0,0,1.2321116,,,
1106.8155,0,0,1.2293936,,,
1106.9134,0,0,1.2221779,,,
1107.0113,0,0,1.2125176,,,
1107.1092,0,0,1.2028559,,,
1107.2071,0,0,1.1931928,,,
1107.305,0,0,1.1835282,,,
1107.4029,0,0,1.1731578,,,
1107.5008,0,0,1.1396145,,,
1107.5987,0,0,1.1060661,,,
1107.6966,0,0,1.0725127,,,
1107.7945,0,0,1.0389543,,,
1107.8924,0,0,1.0053908,,,
1107.9903,0,0,0.99126786,,,
1108.0882,0,0,0.99549322,,,
1108.1861,0,0,0.99971919,,,
1108.284,0,0,1.0039458,,,
1108.3819,0,0,1.008173,,,
1108.4798,0,0,1.0124008,,,
1108.5777,0,0,1.0428758,,,
1108.6756,0,0,1.073401,,,
1108.7735,0,0,1.1039307,,,
1108.8714,0,0,1.134465,,,
1108.9693,0,0,1.1650037,,,
1109.0672,0,0,1.1864857,,,
1109.1651,0,0,1.1931715,,,
1109.263,0,0,1.1998583,,,
1109.3609,0,0,1.2065461,,,
1109.4588,0,0,1.2132348,,,
1109.5567,0,0,1.2199245,,,
1109.6546,0,0,1.2181863,,,
1109.7525,0,0,1.2151298,,,
1109.8504,0,0,1.2120728,,,
1109.9483,0,0,1.2090153,,,
1110.0462,0,0,1.2059574,,,
1110.1441,0,0,1.2040692,,,
1110.242,0,0,1.2043679,,,
1110.3399,0,0,1.2046667,,,
1110.4378,0,0,1.2049656,,,
1110.5357,0,0,1.2052644,,,
1110.6336,0,0,1.2055633,,,
1110.7315,0,0,1.2038897,,,
1110.8294,0,0,1.2014865,,,
1110.9273,0,0,1.1990829,,,
1111.0252,0,0,1.1966789,,,
1111.1231,0,0,1.1942745,,,
1111.221,0,0,1.1925129,,,
1111.3189,0,0,1.1930983,,,
1111.4168,0,0,1.1936838,,,
1111.5147,0,0,1.1942693,,,
1111.6126,0,0,1.1948549,,,
1111.7105,0,0,1.1954406,,,
1111.8084,0,0,1.1931044,,,
1111.9063,0.68039272,0.16579861,1.1887917,,,
1112.0042,0.97911419,0.19850262,1.1844784,,,
1112.1021,1.2252824,0.21376044,1.1801645,,,
1112.2,1.2154772,0.2119386,1.1758498,,,
1112.2979,1.3022146,0.21643281,1.1723495,,,
1112.3958,1.1087728,0.20483614,1.1781792,,,
1112.4937,0.91594998,0.19153164,1.1840096,,,
1112.5916,1.2874034,0.21450862,1.1898409,,,
1112.6895,1.0421784,0.19887786,1.1956731,,,
1112.7874,1.1281931,0.20392593,1.2015061,,,
1112.8853,0.79085481,0.18152598,1.2043242,,,
1112.9832,1.2304762,0.20893397,1.2036463,,,
1113.0811,0.85863758,0.18456562,1.2029682,,,
1113.179,0.87213714,0.18595089,1.20229,,,
1113.2769,0.92356662,0.18902518,1.2016116,,,
1113.3748,0.88483873,0.18609617,1.2009332,,,
1113.4727,1.2778611,0.21031503,1.1956055,,,
1113.5706,1.0209748,0.19379052,1.1894217,,,
1113.6685,0.83782605,0.1806837,1.183237,,,
1113.7664,0.88575512,0.18365049,1.1770513,,,
1113.8643,1.1822579,0.20290748,1.1708647,,,
1113.9622,1.3552578,0.21201742,1.1655672,,,
1114.0601,1.1930855,0.20152987,1.1620895,,,
1114.158,0.88753674,0.18285792,1.1586113,,,
1114.2559,0.57009619,0.1583372,1.1551325,,,
1114.3538,0.63772212,0.16358972,1.1516532,,,
1114.4517,0.68790481,0.16754697,1.1481734,,,
1114.5496,1.0109525,0.18894897,1.143313,,,
1114.6475,1.2669449,0.21057169,1.1378913,,,
1114.7454,1.1474609,0.21756054,1.1324687,,,
1114.8433,1.4091134,0.23741933,1.1270453,,,
1114.9412,1.0140612,0.20496478,1.1216212,,,
1115.0391,0.662956,0.17690754,1.1171373,,,
1115.137,1.1005837,0.19875861,1.1165409,,,
1115.2349,1.3921707,0.20864755,1.1159444,,,
1115.3328,1.2555233,0.15298057,1.1153477,,,
1115.4307,1.3257843,0.12992384,1.114751,,,
1115.5286,1.4053872,0.13241107,1.1141542,,,
1115.6265,1.257878,0.12684763,1.1113845,,,
1115.7244,1.3119688,0.12887359,1.1070258,,,
1115.8223,1.1846261,0.12393068,1.1026664,,,
1115.9202,1.1753786,0.12338613,1.0983063,,,
1116.0181,1.2902765,0.1278825,1.0939456,,,
1116.116,1.2766553,0.12665791,1.0895842,,,
1116.2139,1.1738088,0.12247004,1.0909077,,,
1116.3118,1.1888723,0.12389251,1.0924735,,,
1116.4097,1.1982123,0.12559205,1.0940395,,,
1116.5076,1.241604,0.12561267,1.0956057,,,
1116.6055,1.2163913,0.12320778,1.0971721,,,
1116.7034,1.3373055,0.12714444,1.100778,,,
1116.8013,1.070926,0.11786211,1.1083312,,,
1116.8992,1.3467304,0.12780935,1.1158855,,,
1116.9971,1.1530632,0.1216956,1.1234409,,,
1117.095,1.252121,0.12591068,1.1309974,,,
1117.1929,1.1460062,0.12230692,1.138555,,,
1117.2908,1.2633853,0.12446674,1.1487539,,,
1117.3887,1.1473743,0.1191646,1.1595116,,,
1117.4866,1.0472821,0.11560426,1.1702709,,,
1117.5845,1.028257,0.114773,1.1810318,,,
1117.6824,0.97868748,0.11293473,1.1917942,,,
